GameID,Titles,YearReleased,Ranking,min_players,max_players,NumRatings,AvgRating,weighted_avg,#_of_awards,ExpansionFlag,#_of_expansion_sets,LicensedType,ClassicFlag,Category,boardgame_category
14941,What's GNU?,2004,14941,2,6,42,5.3143,6.0032,0,N,0,Original,Modern,Board,"['Childrens Game', 'Word Game']"
14942,Redneck Life,2004,14942,2,6,36,5.4097,6.0589,0,N,0,Original,Modern,Board,"['Humor', 'Party Game', 'Racing']"
14943,Expedition  Congo River 1884,2012,14943,2,4,116,5.5147,5.8748,0,N,0,Original,Modern,Card,"['Adventure', 'Bluffing', 'Card Game', 'Exploration']"
14944,Take 5,1977,14944,2,2,51,5.4235,5.9991,0,N,0,Original,Modern,Board,['Abstract Strategy']
14945,Joomba!,2012,14945,2,8,61,5.4771,5.9836,0,N,0,Original,Modern,Board,"['Animals', 'Childrens Game', 'Party Game']"
14946,Clockwork Kingdom,2015,14946,2,4,56,5.3125,5.9408,0,Y,1,Original,Modern,Board,"['Economic', 'Fantasy']"
14947,PerplexCity  The Boardgame,2006,14947,2,16,81,5.4617,5.9208,2,N,0,Original,Modern,Board,"['Puzzle', 'Trivia']"
14948,Geist,2004,14948,2,5,63,5.8016,6.1028,0,N,0,Original,Modern,Board,"['Adventure', 'Fantasy', 'Humor', 'Puzzle']"
14949,Blackrock City,2012,14949,2,4,107,5.4173,5.8401,0,N,0,Original,Modern,Board,['American West']
14950,Bejeweled Frenzy,2013,14950,2,4,30,5.3867,6.0835,0,N,0,Original,Modern,Card,"['Abstract Strategy', 'Card Game']"
14951,Crazy Diamond & Karatino,2006,14951,2,6,43,5.3721,6.0158,0,N,0,Original,Modern,Board,"['Negotiation', 'Transportation', 'Travel']"
14952,Super 3,1978,14952,2,2,60,5.3817,5.9510,0,N,0,Original,Modern,Dice,"['Abstract Strategy', 'Dice']"
14953,Monopoly  Las Vegas,2000,14953,2,6,49,5.7449,6.1125,0,N,0,Original,Classic,Board,"['Economic', 'Negotiation']"
14954,Custer's Luck,1985,14954,1,3,44,5.3864,6.0157,0,N,0,Original,Modern,Board,"['American Indian Wars', 'Fighting', 'Wargame']"
14955,Oregon Trail,1981,14955,1,8,45,5.4100,6.0187,0,N,0,Original,Modern,Board,"['Adventure', 'American West', 'Exploration']"
14956,Hearing Things,2017,14956,4,8,53,5.2387,5.9275,0,N,0,Original,Modern,Board,"['Party Game', 'Real-time']"
14957,Wo war's?,2009,14957,1,5,74,5.4770,5.9457,3,N,0,Original,Modern,Board,"['Childrens Game', 'Deduction', 'Electronic', 'Fantasy']"
14958,Ding!,2011,14958,3,8,36,5.2472,6.0159,0,N,0,Original,Modern,Card,['Card Game']
14959,Bulldog Dozer,1995,14959,2,4,33,5.2576,6.0358,0,N,0,Original,Modern,Board,"['Action / Dexterity', 'Animals', 'Childrens Game', 'Electronic']"
14960,Mees,2009,14960,2,5,75,5.7373,6.0546,0,Y,1,Original,Modern,Card+Dice,"['Adventure', 'Card Game', 'Dice', 'Novel-based']"
14961,Warhammer Warriors Battle Books,1999,14961,2,2,31,4.7581,5.9295,0,N,0,Original,Modern,Board,"['Fighting', 'Novel-based', 'Science Fiction']"
14962,Pirate Plank,2010,14962,2,4,157,5.4889,5.8016,1,N,0,Original,Modern,Board,"['Negotiation', 'Pirates', 'Racing']"
14963,Dogfight,2009,14963,2,2,58,5.2207,5.8991,0,N,0,Original,Modern,Board,"['Aviation / Flight', 'World War II']"
14964,Heads Up! Party Game,2013,14964,2,6,125,5.4475,5.8231,0,N,0,Original,Modern,Board,"['Deduction', 'Party Game']"
